Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
0x152ebccfed99c9f5170abf4476ac42a3fd0ab2e5c1dbc363f57715ef4b6875d7,Success,Operate Device,67011000,31/03/2026 22:54,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.000213
0xf0a970b6352aca7a050dbc8ee71b5c3df940c34989e667cfa56be07b4c45a051,Success,Define Device,67010966,31/03/2026 17:41,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.00044
0xb36bcfb5b83d18c6df01348428fd4b3874d50993b7e4f5a7db4cdba06bcf3a7a,Success,Remove Device,67010946,31/03/2026 10:58,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.000122
0xce36208f0fe6e65f5d26ed1719049b6bd00806d1a2dd1d3269f3b0f8c26fd117,Success,Remove Device,67010933,31/03/2026 05:55,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.000122
0x45b787b3dbb6ddb3c546db5f1a0d4f38c95b60c17f75ed43d754e73b410fc314,Success,Operate Device,67010901,31/03/2026 00:08,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.000219
0x1f8e563e79861be5f936760d9476ac129cd338ddeb82b163a1d210c9dc59711b,Success,Operate Device,67003773,31/01/2026 21:40,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.000216
0x91b12d79ba61f8ee89e5024fba21ba5946c1ad27ca07a7fd47c4b809c7d9add6,Success,Operate Device,67003744,31/01/2026 13:54,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.000213
0xaa8d79a8e97538f0a50a3964c90fcd110bacd8ae938c7110c5953804241bcfb7,Success,Operate Device,67003716,31/01/2026 05:52,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.000219
0x1d0f2bcc04401e53b7f76f41fd4d331a8935d614c991a07057b066f50a8bed55,Success,Remove Device,67003671,31/01/2026 01:24,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.000122
0xf0c737fbb6ef38c1907e2f3cfa14f7d185cc818beaa0c07297bc34b8ebaabb73,Success,Grant Access,67014921,30/04/2026 20:04,0x02C2A0Ca41D850185fd29D81a1F2F894Ee610B3f,,0xc2d2b7fFa11Ea4DA2484759ee93d8DB157E8F0c1,,0 BNB,$0.00,0.000336
